,fband,netst,stlo,stla,meanb,meanQ,ncount,nearest_lon,nearest_lat,vs30
238,0.5-1.0,UW.CHIMA,-122.780579,48.010509,0.01,471.239,2,-122.7813,48.0112,320.6797
239,0.5-1.0,UW.DOTY,-123.369232,46.704639,0.06,78.54,2,-123.3693,46.7053,569.267
240,0.5-1.0,UW.HOQUI,-123.956596,47.08075,0.12,39.27,2,-123.9573,47.0812,430.9898
241,0.5-1.0,UW.JEDS,-124.049049,43.751572,0.26,18.125,1,-124.0493,43.7513,583.5758
242,0.5-1.0,UW.LOKMT,-120.789398,47.149632,0.3399999999999999,13.9685,2,-120.7894,47.1492,779.3767
243,0.5-1.0,UW.MONTE,-123.575111,47.024109,0.02,314.1595,2,-123.5753,47.0232,424.5092
244,0.5-1.0,UW.SALO,-122.3731,47.95145,0.01,471.239,2,-122.3734,47.9512,490.7877
245,0.5-1.0,CC.MAR,-122.296669,46.28532,0.29,16.25,1,-122.2974,46.2853,463.8497
246,0.5-1.0,CC.UNFR,-122.292099,46.27261,0.01,471.239,1,-122.2914,46.2733,497.4147
247,0.5-1.0,UO.PERY,-123.260193,45.04092,0.01,471.239,1,-123.2593,45.0413,219.4266
