netst,stlo,stla
UW.BST25,-122.113792,47.304283
UW.BST26,-122.269241,47.172806
UW.BST28,-122.269699,47.349514
UW.BST29,-122.223015,47.707245
UW.BST30,-122.123398,47.731972
UW.CBS,-120.042847,47.804691
UW.CCRK,-119.854797,46.558498
UW.CHIMA,-122.780579,48.010509
UW.CINE,-122.567299,46.556599
UW.CORE,-123.913597,46.925701
UW.COUGS,-117.133919,46.729671
UW.COWL,-122.664612,46.482040
UW.COWS,-121.930748,47.665600
UW.COYL,-122.788162,47.697109
UW.CROWN,-124.478844,48.302929
UW.CVILL,-117.873154,48.554520
UW.DATON,-117.926529,46.263729
UW.DAVN,-118.274101,47.800598
UW.DDRF,-119.059502,46.491100
UW.DEAL,-123.558861,46.741001
UW.DONK,-122.156731,48.423840
UW.DOORS,-123.257263,47.054611
UW.DOSE,-122.971802,47.717201
UW.DOTY,-123.369232,46.704639
UW.DY2,-119.772499,47.985031
UW.EDM,-122.151207,46.197170
UW.ELW,-121.872673,47.494099
UW.EPH2,-119.611687,47.370659
UW.EQUIL,-122.854080,47.835159
UW.ERW,-122.626007,48.453838
UW.ETW,-120.332359,47.604549
UW.FISH,-123.559097,45.930599
UW.FISH2,-123.499367,45.927509
UW.FMW,-121.671463,46.941914
UW.FORK,-124.566200,47.947498
UW.GBB,-119.628983,46.608688
UW.GNW,-122.824982,47.564129
UW.GOBBL,-118.730194,48.674660
UW.GUEM,-122.630142,48.546669
UW.H2O,-119.424110,46.395550
UW.HANS,-122.569412,47.907360
UW.HDW,-123.055496,47.648312
UW.HERD,-123.653099,47.227570
UW.HILL,-122.447021,48.388062
UW.HOOD,-121.650932,45.322262
UW.HOPR,-120.894302,47.922901
UW.HOQUI,-123.956596,47.080750
UW.HSR,-122.180603,46.174171
UW.HTW,-121.769142,47.804169
UW.INGAL,-123.181992,46.720871
UW.IRON,-118.474297,43.358002
UW.IZEE,-119.504204,44.082001
UW.JEDS,-124.049049,43.751572
UW.KENT,-120.635101,45.235699
UW.KNGST,-122.514687,47.802719
UW.KREP,-121.459702,45.885201
UW.KTSAP,-122.938744,47.518398
UW.LBRT,-117.324921,47.382370
UW.LCCR,-122.478401,45.205898
UW.LCV,-118.276939,46.007992
UW.LEID,-123.465057,46.829418
UW.LIGO,-119.417686,46.461704
UW.LMONT,-117.899857,47.203640
UW.LNO,-118.287392,45.871712
UW.LOKMT,-120.789398,47.149632
UW.LON,-121.809601,46.750599
UW.LRIV,-123.503998,48.057499
UW.LTY,-120.666359,47.254509
UW.LUMI,-122.706299,48.720100
UW.MANO,-120.724693,46.951103
UW.MDW,-119.762154,46.613022
UW.MJO1,-121.938004,48.582321
UW.MONTE,-123.575111,47.024109
UW.MOODY,-124.014183,47.208931
UW.MORSE,-122.514481,47.689011
UW.MOX,-120.299339,46.577179
UW.MRBL,-121.484497,48.518299
UW.MULN,-122.064407,48.535439
UW.NATEM,-122.818520,48.105869
UW.NEL,-120.339508,48.078018
UW.NEMA,-123.749969,46.497410
UW.NIKE,-119.532730,46.391899
UW.OLQN,-123.812523,47.513248
UW.OMAK,-119.333199,48.358398
UW.OSQM,-123.131393,48.043221
UW.OSR,-123.965927,47.505341
UW.OT3,-119.234131,46.668861
UW.OTR,-124.345177,48.086319
UW.PAN4H,-123.269577,47.175869
UW.PASS,-122.085197,48.998299
UW.PHIN,-119.927803,45.895100
UW.PRIN,-122.630852,48.211720
UW.PRO,-119.686813,46.212521
UW.RAD1,-122.363335,47.636131
UW.RAD2,-122.358353,47.631645
UW.RAD3,-122.362602,47.633865
UW.RAD4,-122.354973,47.638039
UW.RAD5,-122.356667,47.635693
UW.RAD6,-122.351166,47.633671
UW.RADR,-123.798973,46.421810
UW.RATT,-121.802544,47.425461
UW.RCM,-121.732979,46.835640
UW.RER,-121.842499,46.818581
UW.RNWY,-123.126297,48.612061
UW.RPW2,-121.526497,48.444931
UW.RVSD,-117.356796,47.964771
UW.SALO,-122.373100,47.951450
UW.SAW,-119.401657,47.701870
UW.SEAS2,-123.895699,46.035648
UW.SHUK,-121.676949,48.852840
UW.SHW,-122.234917,46.193642
UW.SKOKO,-123.366501,47.409081
UW.SLDQ,-124.140923,48.062241
UW.SLF,-120.529457,47.760578
UW.SNAG,-124.519814,48.206478
UW.SNI2,-119.655151,46.464802
UW.SP2,-122.249229,47.556290
UW.SSO2,-122.483437,44.841179
UW.STOR,-121.988800,47.188099
UW.TBLMT,-120.598267,47.173100
UW.TDH,-121.791443,45.289997
UW.TNSKT,-119.442207,48.722301
UW.TOLE,-122.845398,46.452694
UW.TOLT,-121.689499,47.694698
UW.TOUCH,-118.631187,46.022839
UW.TREE,-120.893402,42.725800
UW.TUCA,-118.145500,46.513901
UW.TWISP,-120.119759,48.461071
UW.UGAP1,-120.469429,46.531261
UW.UGP4,-120.446373,46.530231
UW.UMAT,-118.959503,45.290401
UW.WA2,-119.566811,46.755192
UW.WAT2,-120.114433,47.620239
UW.WATCH,-121.987122,46.570702
UW.WHGC,-123.729866,46.655991
UW.WISH,-123.771179,47.116982
UW.WOLL,-118.920998,47.057301
UW.WPEQ,-121.404488,46.613277
UW.WRW,-120.883003,47.856651
UW.WYNO,-123.612961,47.433922
UW.YACT,-122.419296,45.932499
UW.YPT,-118.963173,46.048351
XA.ALP0,-123.407402,44.337700
XA.ALS0,-123.595200,44.410400
XA.BWO0,-123.566498,44.612000
XA.MAP0,-123.829803,44.003502
XA.TOL0,-123.999702,44.676399
XA.YAC0,-124.093201,44.298199
XC.ID001,-116.981400,43.289902
XC.ID002,-116.507401,43.194698
XC.ID004,-116.626900,42.917000
XC.ID005,-116.133003,42.833900
XC.ID007,-116.364799,42.663399
XC.ID008,-115.980499,42.546600
XC.ID009,-116.980301,42.602100
XC.ID010,-116.782600,42.544800
XC.ID014,-116.288200,42.339699
XC.ID015,-116.170097,42.308800
XC.ID016,-116.689796,42.293598
XC.ID017,-115.986397,42.281601
XC.NV001,-118.661102,41.966599
XC.NV004,-115.959000,41.918201
XC.NV007,-119.297699,41.837200
XC.NV008,-118.610497,41.826099
XC.NV009,-116.324303,41.827202
XC.NV011,-118.944000,41.684299
XC.NV012,-119.171097,41.615398
XC.NV013,-118.583099,41.618698
XC.NV014,-118.827400,41.581100
XC.OR002,-117.874199,45.021500
XC.OR005,-118.144402,44.683201
XC.OR006,-119.027199,44.491798
XC.OR007,-121.312798,44.371201
XC.OR008,-120.974701,44.409000
XC.OR009,-119.413200,44.465698
XC.OR011,-118.835999,44.396900
XC.OR012,-121.489799,44.273899
XC.OR014,-119.024300,44.203800
XC.OR015,-121.030197,44.215500
XC.OR016,-120.601700,44.214699
XC.OR018,-121.409401,44.148701
XC.OR019,-118.993599,44.112598
XC.OR020,-120.247101,44.156601
XC.OR021,-118.597702,44.184799
XC.OR024,-120.685898,44.053101
XC.OR025,-119.861603,44.030300
XC.OR027,-118.969299,44.007500
XC.OR029,-121.192497,43.991798
XC.OR030,-121.036400,43.905998
XC.OR031,-119.272499,43.907398
XC.OR032,-120.886200,43.855301
XC.OR033,-119.028000,43.774101
XC.OR034,-120.558998,43.835899
XC.OR035,-120.022697,43.887600
